kind,date,amount,mode_price,area,year,weekno
かぶ,20051107,39319,158.0,千葉,2005,45
かぶ,20051108,35433,158.0,千葉,2005,45
かぶ,20051110,40208,126.0,千葉,2005,45
かぶ,20051111,32032,137.0,千葉,2005,45
かぶ,20051112,38288,137.0,千葉,2005,45
かぶ,20051114,34641,105.0,千葉,2005,46
かぶ,20051115,29044,95.0,千葉,2005,46
かぶ,20051116,30111,137.0,千葉,2005,46
かぶ,20051117,27094,95.0,千葉,2005,46
かぶ,20051118,28475,105.0,千葉,2005,46
かぶ,20051119,29666,137.0,千葉,2005,46
かぶ,20051121,35063,137.0,千葉,2005,47
かぶ,20051122,31886,116.0,千葉,2005,47
かぶ,20051124,34581,137.0,千葉,2005,47
かぶ,20051125,31429,116.0,千葉,2005,47
かぶ,20051126,32805,116.0,千葉,2005,47
かぶ,20051128,35861,116.0,千葉,2005,48
かぶ,20051129,30716,105.0,千葉,2005,48
かぶ,20051130,32002,137.0,千葉,2005,48
かぶ,20051201,35387,137.0,千葉,2005,48
かぶ,20051202,33708,105.0,千葉,2005,48
かぶ,20051203,35213,137.0,千葉,2005,48
かぶ,20051205,33486,105.0,千葉,2005,49
かぶ,20051206,35135,137.0,千葉,2005,49
かぶ,20051207,33658,105.0,千葉,2005,49
かぶ,20051208,33469,95.0,千葉,2005,49
かぶ,20051209,29036,95.0,千葉,2005,49
かぶ,20051210,28412,137.0,千葉,2005,49
かぶ,20051212,27204,84.0,千葉,2005,50
かぶ,20051213,33726,116.0,千葉,2005,50
かぶ,20051215,30435,74.0,千葉_埼玉,2005,50
かぶ,20051216,28798,116.0,千葉,2005,50
かぶ,20051217,29062,63.0,千葉,2005,50
かぶ,20051219,29117,84.0,千葉,2005,51
かぶ,20051220,25893,158.0,千葉,2005,51
かぶ,20051221,21032,126.0,千葉,2005,51
かぶ,20051222,25413,168.0,千葉,2005,51
かぶ,20051224,27593,179.0,千葉,2005,51
かぶ,20051225,17818,179.0,千葉,2005,51
かぶ,20051226,22486,210.0,千葉,2005,52
かぶ,20051227,21768,137.0,千葉,2005,52
かぶ,20051228,24203,74.0,千葉,2005,52
かぶ,20051229,23609,168.0,千葉,2005,52
かぶ,20060105,35463,210.0,千葉,2006,1
かぶ,20060106,21194,189.0,千葉,2006,1
かぶ,20060107,24488,242.0,千葉,2006,1
かぶ,20060110,22383,241.5,千葉_埼玉,2006,2
かぶ,20060111,20738,221.0,千葉,2006,2
かぶ,20060112,21215,210.0,千葉,2006,2
かぶ,20060113,21875,189.0,千葉,2006,2
かぶ,20060114,24433,189.0,千葉,2006,2
かぶ,20060116,22592,231.0,千葉,2006,3
かぶ,20060117,20538,189.0,千葉,2006,3
かぶ,20060119,18996,210.0,千葉,2006,3
かぶ,20060120,23434,210.0,千葉,2006,3
かぶ,20060121,25351,158.0,千葉,2006,3
かぶ,20060123,19178,189.0,千葉,2006,4
かぶ,20060124,24703,158.0,千葉,2006,4
かぶ,20060126,27207,189.0,千葉,2006,4
かぶ,20060127,25031,189.0,千葉,2006,4
かぶ,20060128,26994,189.0,千葉,2006,4
かぶ,20060130,22661,158.0,千葉,2006,5
かぶ,20060131,24202,189.0,千葉,2006,5
かぶ,20060201,23948,147.0,千葉,2006,5
かぶ,20060202,23609,158.0,千葉,2006,5
かぶ,20060203,16424,158.0,千葉,2006,5
かぶ,20060204,27389,158.0,千葉,2006,5
かぶ,20060206,21058,158.0,千葉,2006,6
かぶ,20060207,24993,158.0,千葉,2006,6
かぶ,20060208,24171,189.0,千葉,2006,6
かぶ,20060209,22602,158.0,千葉,2006,6
かぶ,20060210,29712,158.0,千葉,2006,6
かぶ,20060213,25369,189.0,千葉,2006,7
かぶ,20060214,24257,158.0,千葉,2006,7
かぶ,20060216,32400,189.0,千葉,2006,7
かぶ,20060217,25392,189.0,千葉,2006,7
かぶ,20060218,24664,147.0,千葉,2006,7
かぶ,20060220,27171,189.0,千葉,2006,8
かぶ,20060221,29419,126.0,千葉,2006,8
かぶ,20060223,34834,179.0,千葉,2006,8
かぶ,20060224,28383,179.0,千葉,2006,8
かぶ,20060225,27337,179.0,千葉,2006,8
かぶ,20060227,28491,168.0,千葉,2006,9
